Dong,인구_평균연령_Period,인구_평균연령_Gu,인구_평균연령_Average age of total,인구_평균연령_Male,인구_평균연령_Female
Seocho 3(sam)-dong,2013.2/4,Seocho-gu,39.8,38.8,40.7
Seocho 4(sa)-dong,2013.2/4,Seocho-gu,37.4,36.8,37.9
Jamwon-dong,2013.2/4,Seocho-gu,37.2,36.3,37.9
Banpobon-dong,2013.2/4,Seocho-gu,38.1,37.4,38.8
Banpo 1(il)-dong,2013.2/4,Seocho-gu,36.9,36.4,37.3
Banpo 2(i)-dong,2013.2/4,Seocho-gu,36.8,36.2,37.4
Banpo 3(sam)-dong,2013.2/4,Seocho-gu,37.0,36.1,37.8
Banpo 4(sa)-dong,2013.2/4,Seocho-gu,37.8,37.1,38.4
Bangbaebon-dong,2013.2/4,Seocho-gu,38.4,38.2,38.5
Bangbae 1(il)-dong,2013.2/4,Seocho-gu,39.3,38.4,40.1
Bangbae 2(i)-dong,2013.2/4,Seocho-gu,39.9,39.1,40.7
Bangbae 3(sam)-dong,2013.2/4,Seocho-gu,40.2,39.3,40.9
Bangbae 4(sa)-dong,2013.2/4,Seocho-gu,38.7,38.6,38.8
Yangjae 1(il)-dong,2013.2/4,Seocho-gu,37.3,36.1,38.4
Yangjae 2(i)-dong,2013.2/4,Seocho-gu,38.1,37.3,38.9
Naegok-dong,2013.2/4,Seocho-gu,43.8,42.6,45.2
Sinsa-dong,2013.2/4,Gangnam-gu,39.2,38.9,39.6
Nonhyeon 1(il)-dong,2013.2/4,Gangnam-gu,38.8,38.8,38.7
Nonhyeon 2(i)-dong,2013.2/4,Gangnam-gu,39.1,38.6,39.5
Samseong 1(il)-dong,2013.2/4,Gangnam-gu,39.0,37.5,40.5
Samseong 2(i)-dong,2013.2/4,Gangnam-gu,36.8,35.9,37.6
Daechi 1(il)-dong,2013.2/4,Gangnam-gu,36.1,35.2,37.0
Daechi 4(sa)-dong,2013.2/4,Gangnam-gu,37.3,36.6,38.0
Yeoksam 1(il)-dong,2013.2/4,Gangnam-gu,38.5,38.8,38.2
Yeoksam 2(i)-dong,2013.2/4,Gangnam-gu,36.1,35.5,36.7
Dogok 1(il)-dong,2013.2/4,Gangnam-gu,38.2,37.9,38.5
Dogok 2(i)-dong,2013.2/4,Gangnam-gu,37.7,37.7,37.7
Gaepo 1(il)-dong,2013.2/4,Gangnam-gu,40.0,39.0,40.9
Gaepo 4(sa)-dong,2013.2/4,Gangnam-gu,38.2,37.2,39.1
Irwonbon-dong,2013.2/4,Gangnam-gu,36.8,35.6,37.9
Irwon 1(il)-dong,2013.2/4,Gangnam-gu,40.4,38.8,42.0
Irwon 2(i)-dong,2013.2/4,Gangnam-gu,39.1,36.7,41.4
Suseo-dong,2013.2/4,Gangnam-gu,44.2,41.5,46.4
Segok-dong,2013.2/4,Gangnam-gu,38.8,37.5,40.1
Apgujeong -dong,2013.2/4,Gangnam-gu,39.5,38.8,40.1
Cheongdam -dong,2013.2/4,Gangnam-gu,38.6,37.8,39.4
Daechi 2(i)-dong,2013.2/4,Gangnam-gu,37.8,36.6,39.0
Gaepo 2(i)-dong,2013.2/4,Gangnam-gu,37.1,36.0,38.2
Pungnap 1(il)-dong,2013.2/4,Songpa-gu,40.4,39.6,41.3
Pungnap 2(i)-dong,2013.2/4,Songpa-gu,37.6,37.1,38.2
Geoyeo 1(il)-dong,2013.2/4,Songpa-gu,38.4,37.6,39.3
Geoyeo 2(i)-dong,2013.2/4,Songpa-gu,38.8,37.8,39.8
Macheon 1(il)-dong,2013.2/4,Songpa-gu,39.7,38.9,40.6
Macheon 2(i)-dong,2013.2/4,Songpa-gu,40.6,39.5,41.7
Bangi 1(il)-dong,2013.2/4,Songpa-gu,38.0,37.2,38.7
Bangi 2(i)-dong,2013.2/4,Songpa-gu,38.8,37.8,39.7
Oryun-dong,2013.2/4,Songpa-gu,37.6,36.9,38.2
Ogeum-dong,2013.2/4,Songpa-gu,39.1,38.2,39.9
Songpa 1(il)-dong,2013.2/4,Songpa-gu,38.4,38.1,38.7
Songpa 2(i)-dong,2013.2/4,Songpa-gu,38.0,37.3,38.6
Seokchon-dong,2013.2/4,Songpa-gu,38.4,37.7,39.1
Samjeon-dong,2013.2/4,Songpa-gu,37.5,36.5,38.4
Garakbon-dong,2013.2/4,Songpa-gu,38.3,37.6,38.9
Garak 1(il)-dong,2013.2/4,Songpa-gu,43.2,41.4,45.0
Garak 2(i)-dong,2013.2/4,Songpa-gu,36.9,36.3,37.5
Munjeong 1(il)-dong,2013.2/4,Songpa-gu,38.6,37.8,39.3
Munjeong 2(i)-dong,2013.2/4,Songpa-gu,41.5,40.8,42.1
Jangji-dong,2013.2/4,Songpa-gu,36.8,35.7,37.9
Jamsilbon-dong,2013.2/4,Songpa-gu,38.1,37.4,38.8
Jamsil 4(sa)-dong,2013.2/4,Songpa-gu,36.9,36.1,37.8
Jamsil 6(yuk)-dong,2013.2/4,Songpa-gu,39.0,38.2,39.7
Jamsil 7(chil)-dong,2013.2/4,Songpa-gu,40.6,40.5,40.7
Jamsil 2(i)-dong,2013.2/4,Songpa-gu,34.5,34.1,34.9
Jamsil 3(sam)-dong,2013.2/4,Songpa-gu,38.0,37.5,38.5
Gangil-dong,2013.2/4,Gangdong-gu,36.0,35.0,37.0
Sangil-dong,2013.2/4,Gangdong-gu,38.8,37.7,39.8
Myeongil 1(il)-dong,2013.2/4,Gangdong-gu,38.0,36.7,39.2
Myeongil 2(i)-dong,2013.2/4,Gangdong-gu,38.4,37.3,39.6
Godeok 1(il)-dong,2013.2/4,Gangdong-gu,37.3,35.8,38.7
Godeok 2(i)-dong,2013.2/4,Gangdong-gu,40.2,38.9,41.5
Amsa 2(i)-dong,2013.2/4,Gangdong-gu,37.1,36.6,37.6
Amsa 3(sam)-dong,2013.2/4,Gangdong-gu,37.0,36.5,37.5
Cheonho 1(il)-dong,2013.2/4,Gangdong-gu,40.2,39.2,41.2
Cheonho 3(sam)-dong,2013.2/4,Gangdong-gu,41.6,41.0,42.3
Seongnae 1(il)-dong,2013.2/4,Gangdong-gu,38.2,37.3,39.0
Seongnae 2(i)-dong,2013.2/4,Gangdong-gu,40.5,39.6,41.4
Seongnae 3(sam)-dong,2013.2/4,Gangdong-gu,39.0,37.7,40.2
Dunchon 1(il)-dong,2013.2/4,Gangdong-gu,37.9,36.1,39.9
Dunchon 2(i)-dong,2013.2/4,Gangdong-gu,38.7,37.8,39.6
Amsa 1(il)-dong,2013.2/4,Gangdong-gu,39.4,38.4,40.3
Cheonho 2(i)-dong,2013.2/4,Gangdong-gu,40.7,39.9,41.4
Gil-dong,2013.2/4,Gangdong-gu,39.2,38.3,40.2
